seed_id,form,scanner,run_index,blocked,latency_ms,error,explanation,timestamp
CVEDERIVED-202549596-B,orig,cisco-llm,0,N,24494,,no threats detected,2026-06-19T23:07:53.501360+00:00
CVEDERIVED-202549596-B,orig,cisco-hybrid,0,Y,16622,,threats detected: CODE EXECUTION,2026-06-19T23:08:10.425387+00:00
CVEDERIVED-202549596-B,light,cisco-llm,0,N,21218,,no threats detected,2026-06-19T23:08:31.946061+00:00
CVEDERIVED-202549596-B,light,cisco-hybrid,0,Y,17084,,threats detected: CODE EXECUTION,2026-06-19T23:08:49.333992+00:00
CVEDERIVED-202549596-B,heavy,cisco-llm,0,N,25588,,no threats detected,2026-06-19T23:09:15.223574+00:00
CVEDERIVED-202549596-B,heavy,cisco-hybrid,0,Y,27245,,threats detected: CODE EXECUTION,2026-06-19T23:09:42.771340+00:00
CVEDERIVED-202554136-A,orig,cisco-llm,0,N,27380,,no threats detected,2026-06-19T23:10:10.456102+00:00
CVEDERIVED-202554136-A,orig,cisco-hybrid,0,N,25709,,no threats detected,2026-06-19T23:10:36.466788+00:00
CVEDERIVED-202554136-A,light,cisco-llm,0,N,16535,,no threats detected,2026-06-19T23:10:53.303807+00:00
CVEDERIVED-202554136-A,light,cisco-hybrid,0,N,18795,,no threats detected,2026-06-19T23:11:12.400730+00:00
CVEDERIVED-202554136-A,heavy,cisco-llm,0,N,17843,,no threats detected,2026-06-19T23:11:30.545521+00:00
CVEDERIVED-202554136-A,heavy,cisco-hybrid,0,N,19029,,no threats detected,2026-06-19T23:11:49.875609+00:00
CVEDERIVED-20256514-A,orig,cisco-llm,0,N,17938,,no threats detected,2026-06-19T23:12:08.116461+00:00
CVEDERIVED-20256514-A,orig,cisco-hybrid,0,Y,17653,,"threats detected: DATA EXFILTRATION, INJECTION ATTACK",2026-06-19T23:12:26.071131+00:00
CVEDERIVED-20256514-A,light,cisco-llm,0,N,17830,,no threats detected,2026-06-19T23:12:44.202534+00:00
CVEDERIVED-20256514-A,light,cisco-hybrid,0,Y,22348,,threats detected: INJECTION ATTACK,2026-06-19T23:13:06.855890+00:00
CVEDERIVED-20256514-A,heavy,cisco-llm,0,N,15910,,no threats detected,2026-06-19T23:13:23.066918+00:00
CVEDERIVED-20256514-A,heavy,cisco-hybrid,0,N,15888,,no threats detected,2026-06-19T23:13:39.256831+00:00
CVEDERIVED-20256514-B,orig,cisco-llm,0,N,19139,,no threats detected,2026-06-19T23:13:58.697055+00:00
CVEDERIVED-20256514-B,orig,cisco-hybrid,0,Y,23191,,"threats detected: DATA EXFILTRATION, INJECTION ATTACK",2026-06-19T23:14:22.190093+00:00
CVEDERIVED-20256514-B,light,cisco-llm,0,N,26140,,no threats detected,2026-06-19T23:14:48.631915+00:00
CVEDERIVED-20256514-B,light,cisco-hybrid,0,Y,27450,,threats detected: INJECTION ATTACK,2026-06-19T23:15:16.383736+00:00
CVEDERIVED-20256514-B,heavy,cisco-llm,0,N,26385,,no threats detected,2026-06-19T23:15:43.070405+00:00
CVEDERIVED-20256514-B,heavy,cisco-hybrid,0,N,16324,,no threats detected,2026-06-19T23:15:59.695787+00:00
CVEDERIVED-202568144-A,orig,cisco-llm,0,N,18877,,no threats detected,2026-06-19T23:16:18.875062+00:00
CVEDERIVED-202568144-A,orig,cisco-hybrid,0,Y,14128,,threats detected: INJECTION ATTACK,2026-06-19T23:16:33.304332+00:00
CVEDERIVED-202568144-A,light,cisco-llm,0,N,18367,,no threats detected,2026-06-19T23:16:51.972505+00:00
CVEDERIVED-202568144-A,light,cisco-hybrid,0,Y,22339,,threats detected: INJECTION ATTACK,2026-06-19T23:17:14.613045+00:00
CVEDERIVED-202568144-A,heavy,cisco-llm,0,N,15704,,no threats detected,2026-06-19T23:17:30.618432+00:00
